date,tranche,strike,expiry,spot,days_to_expiry,itm,entry_premium,current_premium,multiple,entry_date_stamped,harvested
6/21/13,1,156,3/22/14,159.05,274,FALSE,10.77,9.4,0.873,,FALSE
9/20/13,1,156,3/22/14,170.62,183,FALSE,10.77,3.175,0.295,,FALSE
9/20/13,2,159,6/21/14,170.62,274,FALSE,12.675,5.845,0.461,,FALSE
12/20/13,1,156,3/22/14,181.58,92,FALSE,10.77,0.595,0.055,,FALSE
12/20/13,2,159,6/21/14,181.58,183,FALSE,12.675,2.085,0.164,,FALSE
12/20/13,3,171,9/20/14,181.58,274,FALSE,12.32,6.355,0.516,,FALSE
3/21/14,1,156,3/22/14,186.19,1,FALSE,10.77,0,0,,FALSE
3/21/14,2,159,6/21/14,186.19,92,FALSE,12.675,0.74,0.058,,FALSE
3/21/14,3,171,9/20/14,186.19,183,FALSE,12.32,3.68,0.299,,FALSE
3/21/14,4,182,12/20/14,186.19,274,FALSE,12.685,8.89,0.701,,FALSE
6/20/14,1,186,3/20/15,195.94,273,FALSE,12.56,6.525,0.52,,FALSE
6/20/14,2,159,6/21/14,195.94,1,FALSE,12.675,0,0,,FALSE
6/20/14,3,171,9/20/14,195.94,92,FALSE,12.32,0.58,0.047,,FALSE
6/20/14,4,182,12/20/14,195.94,183,FALSE,12.685,3.395,0.268,,FALSE
9/19/14,1,186,3/20/15,200.7,182,FALSE,12.56,3.785,0.301,,FALSE
9/19/14,2,196,6/19/15,200.7,273,FALSE,12.46,8.89,0.713,,FALSE
9/19/14,3,171,9/20/14,200.7,1,FALSE,12.32,0,0,,FALSE
9/19/14,4,182,12/20/14,200.7,92,FALSE,12.685,1.21,0.095,,FALSE
12/19/14,1,186,3/20/15,206.33,91,FALSE,12.56,1.935,0.154,,FALSE
12/19/14,2,196,6/19/15,206.33,182,FALSE,12.46,6.375,0.512,,FALSE
12/19/14,3,200,9/18/15,206.33,273,FALSE,13.765,10.175,0.739,,FALSE
12/19/14,4,182,12/20/14,206.33,1,FALSE,12.685,0,0,,FALSE
3/20/15,1,186,3/20/15,210.45,0,FALSE,12.56,0,0,,FALSE
3/20/15,2,196,6/19/15,210.45,91,FALSE,12.46,2.445,0.196,,FALSE
3/20/15,3,200,9/18/15,210.45,182,FALSE,13.765,6.055,0.44,,FALSE
3/20/15,4,205,12/19/15,210.45,274,FALSE,14.49,10.04,0.693,,FALSE
6/19/15,1,210,3/18/16,210.81,273,FALSE,14.235,11.995,0.843,,FALSE
6/19/15,2,196,6/19/15,210.81,0,FALSE,12.46,0,0,,FALSE
6/19/15,3,200,9/18/15,210.81,91,FALSE,13.765,3.095,0.225,,FALSE
6/19/15,4,205,12/19/15,210.81,183,FALSE,14.49,7.485,0.517,,FALSE
9/18/15,1,210,3/18/16,195.45,182,TRUE,14.235,18.89,1.327,,FALSE
9/18/15,2,210,6/17/16,195.45,273,TRUE,14.555,21.455,1.474,,FALSE
9/18/15,3,200,9/18/15,195.45,0,TRUE,13.765,4.55,0.331,,FALSE
9/18/15,4,205,12/19/15,195.45,92,TRUE,14.49,12.61,0.87,,FALSE
12/18/15,1,210,3/18/16,200.02,91,TRUE,14.235,13.055,0.917,,FALSE
12/18/15,2,210,6/17/16,200.02,182,TRUE,14.555,16.085,1.105,,FALSE
12/18/15,3,195,9/16/16,200.02,273,FALSE,16.01,12.095,0.755,,FALSE
12/18/15,4,205,12/19/15,200.02,1,TRUE,14.49,4.98,0.344,,FALSE
3/18/16,1,210,3/18/16,204.52,0,TRUE,14.235,5.48,0.385,,FALSE
3/18/16,2,210,6/17/16,204.52,91,TRUE,14.555,9.25,0.636,,FALSE
3/18/16,3,195,9/16/16,204.52,182,FALSE,16.01,6.835,0.427,,FALSE
3/18/16,4,200,12/16/16,204.52,273,FALSE,16.38,11.125,0.679,,FALSE
6/17/16,1,205,3/17/17,206.53,273,FALSE,15.37,13.135,0.855,,FALSE
6/17/16,2,210,6/17/16,206.53,0,TRUE,14.555,3.47,0.238,,FALSE
6/17/16,3,195,9/16/16,206.53,91,FALSE,16.01,4.015,0.251,,FALSE
6/17/16,4,200,12/16/16,206.53,182,FALSE,16.38,8.605,0.525,,FALSE
9/16/16,1,205,3/17/17,213.37,182,FALSE,15.37,7.2,0.468,,FALSE
9/16/16,2,205,6/16/17,213.37,273,FALSE,15.68,9.975,0.636,,FALSE
9/16/16,3,195,9/16/16,213.37,0,FALSE,16.01,0,0,,FALSE
9/16/16,4,200,12/16/16,213.37,91,FALSE,16.38,3.07,0.187,,FALSE
12/16/16,1,205,3/17/17,225.04,91,FALSE,15.37,1.62,0.105,,FALSE
12/16/16,2,205,6/16/17,225.04,182,FALSE,15.68,4,0.255,,FALSE
12/16/16,3,215,9/15/17,225.04,273,FALSE,16.15,8.78,0.544,,FALSE
12/16/16,4,200,12/16/16,225.04,0,FALSE,16.38,0,0,,FALSE
3/17/17,1,205,3/17/17,237.03,0,FALSE,15.37,0,0,,FALSE
3/17/17,2,205,6/16/17,237.03,91,FALSE,15.68,0.705,0.045,,FALSE
3/17/17,3,215,9/15/17,237.03,182,FALSE,16.15,3.295,0.204,,FALSE
3/17/17,4,225,12/15/17,237.03,273,FALSE,14.77,7.465,0.505,,FALSE
6/16/17,1,237,3/16/18,242.64,273,FALSE,13.75,9.21,0.67,,FALSE
6/16/17,2,205,6/16/17,242.64,0,FALSE,15.68,0,0,,FALSE
6/16/17,3,215,9/15/17,242.64,91,FALSE,16.15,0.82,0.051,,FALSE
6/16/17,4,225,12/15/17,242.64,182,FALSE,14.77,3.8,0.257,,FALSE
9/15/17,1,237,3/16/18,249.19,182,FALSE,13.75,5.115,0.372,,FALSE
9/15/17,2,245,6/15/18,249.19,273,FALSE,14.855,9.875,0.665,,FALSE
9/15/17,3,215,9/15/17,249.19,0,FALSE,16.15,0,0,,FALSE
9/15/17,4,225,12/15/17,249.19,91,FALSE,14.77,1.205,0.082,,FALSE
12/15/17,1,237,3/16/18,266.51,91,FALSE,13.75,0.845,0.061,,FALSE
12/15/17,2,245,6/15/18,266.51,182,FALSE,14.855,3.5,0.236,,FALSE
12/15/17,3,249,9/21/18,266.51,280,FALSE,13.875,6.535,0.471,,FALSE
12/15/17,4,225,12/15/17,266.51,0,FALSE,14.77,0,0,,FALSE
3/16/18,1,237,3/16/18,274.2,0,FALSE,13.75,0,0,,FALSE
3/16/18,2,245,6/15/18,274.2,91,FALSE,14.855,2.075,0.14,,FALSE
3/16/18,3,249,9/21/18,274.2,189,FALSE,13.875,5.305,0.382,,FALSE
3/16/18,4,267,12/21/18,274.2,280,FALSE,13.77,11.645,0.846,,FALSE
6/15/18,1,275,3/15/19,277.13,273,FALSE,16.5,11.725,0.711,,FALSE
6/15/18,2,245,6/15/18,277.13,0,FALSE,14.855,0,0,,FALSE
6/15/18,3,249,9/21/18,277.13,98,FALSE,13.875,1.495,0.108,,FALSE
6/15/18,4,267,12/21/18,277.13,189,FALSE,13.77,6.925,0.503,,FALSE
9/21/18,1,275,3/15/19,291.99,175,FALSE,16.5,5.11,0.31,,FALSE
9/21/18,2,275,6/21/19,291.99,273,FALSE,14.365,7.785,0.542,,FALSE
9/21/18,3,249,9/21/18,291.99,0,FALSE,13.875,0,0,,FALSE
9/21/18,4,267,12/21/18,291.99,91,FALSE,13.77,1.75,0.127,,FALSE
12/21/18,1,275,3/15/19,240.7,84,TRUE,16.5,34.75,2.106,,TRUE
12/21/18,1,275,3/15/19,240.7,84,TRUE,16.5,34.75,2.106,,TRUE
12/21/18,2,275,6/21/19,240.7,182,TRUE,14.365,36.14,2.516,,TRUE
12/21/18,3,290,9/20/19,240.7,273,TRUE,14.01,50.18,3.582,,TRUE
12/21/18,4,267,12/21/18,240.7,0,TRUE,13.77,26.3,1.91,,FALSE
3/15/19,1,241,3/15/19,281.31,0,FALSE,10.94,0,0,12/21/18,FALSE
3/15/19,2,241,6/21/19,281.31,98,FALSE,14.755,0.94,0.064,12/21/18,FALSE
3/15/19,3,241,9/20/19,281.31,189,FALSE,17.265,2.59,0.15,12/21/18,FALSE
3/15/19,4,241,12/20/19,281.31,280,FALSE,19,4.21,0.222,,FALSE
6/21/19,1,281,3/20/20,294,273,FALSE,15.32,10.515,0.686,,FALSE
6/21/19,2,241,6/21/19,294,0,FALSE,14.755,0,0,12/21/18,FALSE
6/21/19,3,241,9/20/19,294,91,FALSE,17.265,0.745,0.043,12/21/18,FALSE
6/21/19,4,241,12/20/19,294,182,FALSE,19,2.16,0.114,,FALSE
9/20/19,1,281,3/20/20,298.28,182,FALSE,15.32,8.47,0.553,,FALSE
9/20/19,2,294,6/19/20,298.28,273,FALSE,17.3,15.295,0.884,,FALSE
9/20/19,3,241,9/20/19,298.28,0,FALSE,17.265,0,0,12/21/18,FALSE
9/20/19,4,241,12/20/19,298.28,91,FALSE,19,0.78,0.041,,FALSE
12/20/19,1,281,3/20/20,320.73,91,FALSE,15.32,1.485,0.097,,FALSE
12/20/19,2,294,6/19/20,320.73,182,FALSE,17.3,5.8,0.335,,FALSE
12/20/19,3,298,9/18/20,320.73,273,FALSE,19.63,9.49,0.483,,FALSE
12/20/19,4,241,12/20/19,320.73,0,FALSE,19,0,0,,FALSE
3/20/20,1,281,3/20/20,228.8,0,TRUE,15.32,52.2,3.407,,FALSE
3/20/20,2,294,6/19/20,228.8,91,TRUE,17.3,66.9,3.867,,TRUE
3/20/20,1,281,3/20/20,228.8,0,TRUE,15.32,52.2,3.407,,FALSE
3/20/20,2,294,6/19/20,228.8,91,TRUE,17.3,66.9,3.867,,TRUE
3/20/20,3,298,9/18/20,228.8,182,TRUE,19.63,72.28,3.682,,TRUE
3/20/20,4,321,12/18/20,228.8,273,TRUE,19.17,95.49,4.981,,TRUE
6/19/20,1,229,3/19/21,308.64,273,FALSE,32.895,10.125,0.308,,FALSE
6/19/20,2,229,6/19/20,308.64,0,FALSE,23.99,0,0,3/20/20,FALSE
6/19/20,3,229,9/18/20,308.64,91,FALSE,28.615,3.255,0.114,3/20/20,FALSE
6/19/20,4,229,12/18/20,308.64,182,FALSE,30.9,7.425,0.24,3/20/20,FALSE
9/18/20,1,229,3/19/21,330.65,182,FALSE,32.895,3.455,0.105,,FALSE
9/18/20,2,309,6/18/21,330.65,273,FALSE,34.995,21.14,0.604,,FALSE
9/18/20,3,229,9/18/20,330.65,0,FALSE,28.615,0,0,3/20/20,FALSE
9/18/20,4,229,12/18/20,330.65,91,FALSE,30.9,1.105,0.036,3/20/20,FALSE
12/18/20,1,229,3/19/21,369.18,91,FALSE,32.895,0.565,0.017,,FALSE
12/18/20,2,309,6/18/21,369.18,182,FALSE,34.995,7.435,0.212,,FALSE
12/18/20,3,331,9/17/21,369.18,273,FALSE,32.63,15.71,0.481,,FALSE
12/18/20,4,229,12/18/20,369.18,0,FALSE,30.9,0,0,3/20/20,FALSE
3/19/21,1,229,3/19/21,389.48,0,FALSE,32.895,0,0,,FALSE
3/19/21,2,309,6/18/21,389.48,91,FALSE,34.995,2.44,0.07,,FALSE
3/19/21,3,331,9/17/21,389.48,182,FALSE,32.63,8.735,0.268,,FALSE
3/19/21,4,369,12/17/21,389.48,273,FALSE,31.61,22.14,0.7,,FALSE
6/18/21,1,389,3/18/22,414.92,273,FALSE,33.99,19.335,0.569,,FALSE
6/18/21,2,309,6/18/21,414.92,0,FALSE,34.995,0,0,,FALSE
6/18/21,3,331,9/17/21,414.92,91,FALSE,32.63,2.225,0.068,,FALSE
6/18/21,4,369,12/17/21,414.92,182,FALSE,31.61,10.25,0.324,,FALSE
9/17/21,1,389,3/18/22,441.4,182,FALSE,33.99,11.215,0.33,,FALSE
9/17/21,2,415,6/17/22,441.4,273,FALSE,32.61,22.64,0.694,,FALSE
9/17/21,3,331,9/17/21,441.4,0,FALSE,32.63,0,0,,FALSE
9/17/21,4,369,12/17/21,441.4,91,FALSE,31.61,3.595,0.114,,FALSE
12/17/21,1,389,3/18/22,459.87,91,FALSE,33.99,4.54,0.134,,FALSE
12/17/21,2,415,6/17/22,459.87,182,FALSE,32.61,14.67,0.45,,FALSE
12/17/21,3,441,9/16/22,459.87,273,FALSE,36.63,27.3,0.745,,FALSE
12/17/21,4,369,12/17/21,459.87,0,FALSE,31.61,0,0,,FALSE
3/18/22,1,389,3/18/22,444.52,0,FALSE,33.99,0,0,,FALSE
3/18/22,2,415,6/17/22,444.52,91,FALSE,32.61,9.985,0.306,,FALSE
3/18/22,3,441,9/16/22,444.52,182,FALSE,36.63,25.025,0.683,,FALSE
3/18/22,4,460,12/16/22,444.52,273,TRUE,39.5,38.79,0.982,,FALSE
6/17/22,1,445,3/17/23,365.86,273,TRUE,37.075,80.735,2.178,,TRUE
6/17/22,1,445,3/17/23,365.86,273,TRUE,37.075,80.735,2.178,,TRUE
6/17/22,2,415,6/17/22,365.86,0,TRUE,32.61,49.14,1.507,,FALSE
6/17/22,3,441,9/16/22,365.86,91,TRUE,36.63,74.935,2.046,,TRUE
6/17/22,4,460,12/16/22,365.86,182,TRUE,39.5,93.88,2.377,,TRUE
9/16/22,1,365,3/17/23,385.56,182,FALSE,29.79,16.81,0.564,6/17/22,FALSE
9/16/22,2,365,6/16/23,385.56,273,FALSE,33.06,21.49,0.65,,FALSE
9/16/22,3,366,9/16/22,385.56,0,FALSE,19.075,0,0,6/17/22,FALSE
9/16/22,4,366,12/16/22,385.56,91,FALSE,25.865,10.935,0.423,6/17/22,FALSE
12/16/22,1,365,3/17/23,383.27,91,FALSE,29.79,9.72,0.326,6/17/22,FALSE
12/16/22,2,365,6/16/23,383.27,182,FALSE,33.06,16.455,0.498,,FALSE
12/16/22,3,385,9/15/23,383.27,273,TRUE,32.43,28.245,0.871,,FALSE
12/16/22,4,366,12/16/22,383.27,0,FALSE,25.865,0,0,6/17/22,FALSE
3/17/23,1,365,3/17/23,389.99,0,FALSE,29.79,0,0,6/17/22,FALSE
3/17/23,2,365,6/16/23,389.99,91,FALSE,33.06,8.68,0.263,,FALSE
3/17/23,3,385,9/15/23,389.99,182,FALSE,32.43,19.725,0.608,,FALSE
3/17/23,4,385,12/15/23,389.99,273,FALSE,31.805,24.03,0.756,,FALSE
6/16/23,1,390,3/15/24,439.46,273,FALSE,28.79,8.415,0.292,,FALSE
6/16/23,2,365,6/16/23,439.46,0,FALSE,33.06,0,0,,FALSE
6/16/23,3,385,9/15/23,439.46,91,FALSE,32.43,1.905,0.059,,FALSE
6/16/23,4,385,12/15/23,439.46,182,FALSE,31.805,4.93,0.155,,FALSE
9/15/23,1,390,3/15/24,443.37,182,FALSE,28.79,4.565,0.159,,FALSE
9/15/23,2,440,6/21/24,443.37,280,FALSE,22.645,17.63,0.779,,FALSE
9/15/23,3,385,9/15/23,443.37,0,FALSE,32.43,0,0,,FALSE
9/15/23,4,385,12/15/23,443.37,91,FALSE,31.805,1.615,0.051,,FALSE
12/15/23,1,390,3/15/24,469.33,91,FALSE,28.79,0.935,0.032,,FALSE
12/15/23,2,440,6/21/24,469.33,189,FALSE,22.645,7.485,0.331,,FALSE
12/15/23,3,445,9/20/24,469.33,280,FALSE,22.8,12.13,0.532,,FALSE
12/15/23,4,385,12/15/23,469.33,0,FALSE,31.805,0,0,,FALSE
3/15/24,1,390,3/15/24,509.83,0,FALSE,28.79,0,0,,FALSE
3/15/24,2,440,6/21/24,509.83,98,FALSE,22.645,1.8,0.079,,FALSE
3/15/24,3,445,9/20/24,509.83,189,FALSE,22.8,4.76,0.209,,FALSE
3/15/24,4,470,12/20/24,509.83,280,FALSE,22.39,11.32,0.506,,FALSE
6/21/24,1,510,3/21/25,544.51,273,FALSE,24.84,12.065,0.486,,FALSE
6/21/24,2,440,6/21/24,544.51,0,FALSE,22.645,0,0,,FALSE
6/21/24,3,445,9/20/24,544.51,91,FALSE,22.8,0.995,0.044,,FALSE
6/21/24,4,470,12/20/24,544.51,182,FALSE,22.39,4.24,0.189,,FALSE
9/20/24,1,510,3/21/25,568.25,182,FALSE,24.84,8.07,0.325,,FALSE
9/20/24,2,545,6/20/25,568.25,273,FALSE,24.4,17.835,0.731,,FALSE
9/20/24,3,445,9/20/24,568.25,0,FALSE,22.8,0,0,,FALSE
9/20/24,4,470,12/20/24,568.25,91,FALSE,22.39,2.05,0.092,,FALSE
12/20/24,1,510,3/21/25,591.15,91,FALSE,24.84,3.3,0.133,,FALSE
12/20/24,2,545,6/20/25,591.15,182,FALSE,24.4,11.28,0.462,,FALSE
12/20/24,3,570,9/19/25,591.15,273,FALSE,28.965,20.62,0.712,,FALSE
12/20/24,4,470,12/20/24,591.15,0,FALSE,22.39,0,0,,FALSE
3/21/25,1,510,3/21/25,563.98,0,FALSE,24.84,0,0,,FALSE
3/21/25,2,545,6/20/25,563.98,91,FALSE,24.4,10.83,0.444,,FALSE
3/21/25,3,570,9/19/25,563.98,182,TRUE,28.965,25.34,0.875,,FALSE
3/21/25,4,590,12/19/25,563.98,273,TRUE,30.215,38.665,1.28,,FALSE
6/20/25,1,565,3/20/26,594.28,273,FALSE,32.16,22.66,0.705,,FALSE
6/20/25,2,545,6/20/25,594.28,0,FALSE,24.4,0,0,,FALSE
6/20/25,3,570,9/19/25,594.28,91,FALSE,28.965,11.885,0.41,,FALSE
6/20/25,4,590,12/19/25,594.28,182,FALSE,30.215,24.545,0.812,,FALSE
9/19/25,1,565,3/20/26,663.7,182,FALSE,32.16,7.385,0.23,,FALSE
9/19/25,2,595,6/18/26,663.7,272,FALSE,35.435,15.225,0.43,,FALSE
9/19/25,3,570,9/19/25,663.7,0,FALSE,28.965,0,0,,FALSE
9/19/25,4,590,12/19/25,663.7,91,FALSE,30.215,4.44,0.147,,FALSE
12/19/25,1,565,3/20/26,680.59,91,FALSE,32.16,2.4,0.075,,FALSE
12/19/25,2,595,6/18/26,680.59,181,FALSE,35.435,9.015,0.254,,FALSE
12/19/25,3,665,9/18/26,680.59,273,FALSE,36.075,28.05,0.778,,FALSE
12/19/25,4,590,12/19/25,680.59,0,FALSE,30.215,0,0,,FALSE
3/20/26,1,565,3/20/26,648.57,0,FALSE,32.16,0,0,,FALSE
3/20/26,2,595,6/18/26,648.57,90,FALSE,35.435,12.37,0.349,,FALSE
3/20/26,3,665,9/18/26,648.57,182,TRUE,36.075,41.98,1.164,,FALSE
3/20/26,4,680,12/18/26,648.57,273,TRUE,38.585,55.625,1.442,,FALSE
6/18/26,1,650,3/19/27,746.74,274,FALSE,48.15,16.01,0.333,,FALSE
6/18/26,2,595,6/18/26,746.74,0,FALSE,35.435,0,0,,FALSE
6/18/26,3,665,9/18/26,746.74,92,FALSE,36.075,5.545,0.154,,FALSE
6/18/26,4,680,12/18/26,746.74,183,FALSE,38.585,14.52,0.376,,FALSE
